"","Player","Team","Pos","Game_Score","Two_Point_Field_Goal_Percentage","Field_Goals_Attempted","Technical_Fouls","Minutes_Played","Games_Played","Three_Point_Field_Goals_Attempted","Blocks","Free_Throw_Percentage","Field_Goals_Made","Total_Rebounds","Personal_Fouls","Steals","Turnovers","Free_Throws_Made","Three_Point_Field_Goals_Made","Field_Goal_Percentage","Defensive_Rebounds","Assists","Points","Offensive_Rebounds"
"213","Jalen Smith","Indiana Pacers","PF",NA,NA,NA,NA,NA,NA,NA,0.6,NA,NA,5.48,NA,NA,NA,NA,NA,NA,3.6,NA,NA,1.87
"214","Keon Ellis","Sacramento Kings","SG",NA,NA,NA,NA,NA,NA,NA,0.58,NA,NA,NA,NA,0.92,NA,NA,NA,NA,NA,NA,NA,NA
"215","Julian Champagnie","San Antonio Spurs","PF",NA,NA,NA,NA,NA,NA,NA,0.57,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"216","Duop Reath","Portland Trail Blazers","C",NA,NA,NA,NA,NA,NA,NA,0.56,NA,NA,NA,2.37,NA,NA,NA,NA,NA,NA,NA,NA,1.37
"217","Anfernee Simons","Portland Trail Blazers","SG",NA,NA,NA,NA,NA,NA,NA,NA,"91.6%",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"218","Jordan Clarkson","Utah Jazz","PG",NA,NA,NA,NA,NA,NA,NA,NA,"88.1%",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"219","Desmond Bane","Memphis Grizzlies","SG",NA,NA,NA,NA,NA,NA,NA,NA,"87.0%",NA,NA,NA,NA,NA,NA,NA,46.4,NA,NA,NA,NA
"220","Trae Young","Atlanta Hawks","PG",NA,NA,NA,NA,NA,NA,NA,NA,"85.5%",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"221","Jerami Grant","Portland Trail Blazers","SF",NA,NA,NA,NA,NA,NA,NA,NA,"81.7%",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"222","Jabari Walker","Portland Trail Blazers","PF",NA,NA,NA,NA,NA,NA,NA,NA,"75.4%",NA,7.06,2.4,NA,NA,1.79,NA,NA,4.96,NA,NA,2.1
"223","Kevin Love","Miami Heat","PF",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.82,NA,NA,NA,NA,NA,NA,4.82,NA,NA,1
"224","Brandin Podziemski","Golden State Warriors","SG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.8,NA,NA,NA,NA,NA,NA,4.2,3.65,NA,1.6
"225","Kevon Looney","Golden State Warriors","PF",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.65,2.12,NA,NA,NA,NA,NA,3.73,NA,NA,1.92
"226","Larry Nance Jr.","New Orleans Pelicans","SF",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.31,NA,0.97,NA,NA,NA,NA,3.63,NA,NA,1.69
